no.,type,mean,Geography,Study,Period,ifr,ifr1,ifr2,LifeExp ,GDPpc,,Life Exp at birth (yr),GDPpc (US$)
,p_cfr,n,South Korea,Kim 2011,2009_Aug-Nov,16,NA,NA,,,,,
,p_cfr,n,Martinique,Laurrie 2011,2009-Aug-2010-Jan,5,NA,NA,,,,,
,p_cfr,n,Guadalupe,Laurrie 2011,2009-Aug-2010-Jan,31,NA,NA,,,,,
,p_cfr,n,French Guiana,Laurrie 2011,2009-Aug-2010-Jan,17,NA,NA,,,,,
,p_cfr,n,St Martin,Laurrie 2011,2009-Aug-2010-Jan,0,NA,NA,,,,,
,p_cfr,n,Spain,Mendez 2011,2009-May-2010-Mar,43,38,48,,,,,
,p_cfr,n,Japan,Nishiura 2010,2009-Jul-2010-Jan,0.94,0.8,1.08,,,,,
,p_cfr,n,UK,Pebody 2010,2009-Apr-2010-Mar,40,20,100,,,,,
,p_cfr,n,USA,Presanis 2009,2009_Apr-Jul,7,5,9,,,,"Alternative, different method (survey self-reported ILI)",
,p_cfr,n,USA,Presanis 2009,2009_Apr-Jul,48,26,96,,,,,
,p_cfr,n,UK,Presanis 2011,2009_Jun-Aug,15,10,22,,,,,
,p_cfr,n,Reunion Island,Renault 2011,2009_Jul-Oct,7,NA,NA,,,,,
,p_cfr,n,Greece,Sypsa 2011,2009_Aug-Feb,17.5,14.6,20.8,,,,,
,p_cfr,z,USA,Shrestha 2009*,2009-Apr-2010-Apr,20.5,12.3,34.3,,,**,PubMed sourced,
,p_cfr,n,High income,Wilson 2009,2009_Apr-Jun,2.5,NA,NA,,,,,
